"Gene","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD300E",5.33206264050104,0.451,0.017,8.72917427133587e-189
"LILRB2",5.01729583835629,0.796,0.046,1.99711314175078e-317
"SIGLEC1",4.67015866592551,0.461,0.024,1.1909250957812e-170
"C5AR1",4.63655551847111,0.849,0.06,6.73184205084532e-319
"TLR4",4.58989009017234,0.447,0.027,5.67052214369641e-158
"PILRA",4.49462560568758,0.628,0.043,7.9664236332384e-222
"CSF1R",3.79364976703217,0.78,0.067,3.37835726949154e-250
"CLEC7A",3.63044830178698,0.674,0.069,1.32770078330418e-192
"C3AR1",3.07670270194696,0.582,0.093,4.00956102218505e-121
"P2RX7",2.6021234890875,0.368,0.084,1.69714829238354e-48
