"Gene","avg_log2FC","pct.1","pct.2","Spatial_FC","Spatial_P","Spearman_rho","Correlation_Pvalue","Mouse_Gene","Mouse_Expression","Mouse_Validated","Communication_Count","Pathway_Count","Mean_Communication_Prob","Max_Communication_Prob","Spatial_Score","Correlation_Score","Specificity_Score","AI_Target_Score","Weighted_AI_Score"
"C5AR1",4.63655551847111,0.849,0.06,2.63618390339937,1.78563362562834e-06,0.545926693952884,4.96544118849595e-05,"C5ar1",0.910910046963532,1,0,0,0,0,5.74820764437819,4.30404215759826,0.789,10.1960929374633,18.1705022378272
"LILRB2",5.01729583835629,0.796,0.046,1.9232215297114,0.00139957439671456,0.405283551784752,0.00386668218025163,"Lilrb4a",0.110933209018017,0,0,0,0,0,2.8540040109357,2.41266152304856,0.75,2.68462176177308,5.3916959478156
"PILRA",4.49462560568758,0.628,0.043,1.27371788632308,0.133868878396219,0.354480364970525,0.0124529344668897,"Pilra",0.33396299094775,1,2,1,0.0396457116137768,0.0628483875629781,0.873320375278876,1.90472829735457,0.585,3.54333743761909,5.07106869735292
"CSF1R",3.79364976703217,0.78,0.067,1.27683236900186,0.122952651694367,0.436659461351706,0.00170801702080196,"Csf1r",3.51503358021593,1,0,0,0,0,0.910262100485143,2.76750780577609,0.713,4.62675536002663,3.99314698003554
"SIGLEC1",4.67015866592551,0.461,0.024,1.25952763820531,0.628003373962937,0.21036877706287,0.146819255819087,"Siglec1",0.0660920614107344,0,10,1,0.0854267559812059,0.120307485290219,0.20203802299919,0.833216981561959,0.437,1.20789266236412,-0.641605045019257
"CLEC7A",3.63044830178698,0.674,0.069,1.03404493489566,0.769480533270359,0.24488358489301,0.0899120501455716,"Clec7a",0.817110476048598,1,0,0,0,0,0.113802362707361,1.04618209957907,0.605,-1.83694337675954,-2.12414626817467
"TLR4",4.58989009017234,0.447,0.027,0.995729834158291,0.844705730986817,-0.022187129068009,0.879724019503338,"Tlr4",0.528061611815539,1,0,0,0,0,0.0732945592949125,0.0556535501284018,0.42,-4.21664244687076,-5.86681878884307
"C3AR1",3.07670270194696,0.582,0.093,0.924976813484036,0.542465116297629,0.00465880997985959,0.974655519552887,"C3ar1",1.21214369435682,1,0,0,0,0,0.265628184274914,0.0111488534218911,0.489,-4.7887736520436,-6.8647216744978
"CD300E",5.33206264050104,0.451,0.017,0.900239856764271,0.6668034886384,0.197609496987925,0.173506902247716,"Cd300e",0.0368264697673479,0,0,0,0,0,0.176002136659805,0.760683243936673,0.434,-4.38831174727419,-6.92664007587822
"P2RX7",2.6021234890875,0.368,0.084,0.832121812690566,0.979000454651809,-0.0674211577219593,0.645308801179356,"P2rx7",1.27938776874538,1,0,0,0,0,0.00921710650868447,0.190232411636153,0.284,-7.0280289362981,-10.2024820106182
