"Gene","PC1","PC2","Weighted_AI_Score"
"C5AR1",-4.41979892404798,-0.718764312555278,18.1705022378272
"LILRB2",-2.34630204461042,0.882041985600069,5.3916959478156
"PILRA",-0.391495179054844,1.0096941084355,5.07106869735292
"CSF1R",-1.20527032519901,-2.09130463204178,3.99314698003554
"SIGLEC1",0.831418405121773,3.47707233223957,-0.641605045019257
"CLEC7A",0.531956823838191,-0.896759583836538,-2.12414626817467
"TLR4",1.68293221460449,-0.245236698594301,-5.86681878884307
"C3AR1",1.84057263468265,-1.27568991936754,-6.8647216744978
"CD300E",0.763220162787366,1.28391792384107,-6.92664007587822
"P2RX7",2.71276623187778,-1.42497120372077,-10.2024820106182
